clave_emision,anio,unidad_sectorial_agregada,modulo,categoria_ipcc,categoria_nombre,producto_std,metodo_asignacion,unidad_origen_psut,psut_side,psut_block_code,source_record_id,actividad_base_tj,actividad_emisiones_tj,grupo_factor,tratamiento_co2,anio_factor,estado_factor,ef_co2_kg_tj,ef_ch4_kg_tj,ef_n2o_kg_tj,gas_fuente,emision_fuente_kt_gas,co2_directo_kt,co2_biogenico_memo_kt,ch4_kt,n2o_kt,co2e_kt,estado_resultado,clave_notacion,metodo_calculo,fuente_id_actividad,fuente_id_factor,nota
EM|2018|BEV2_00085,2018,A,COMBUSTION,1.A.4.c,"Agricultura, silvicultura y pesca",LENA,FRONTERA_LENA_A,A,Supply,C,BEV2_00085,289754.9256,289754.9256,NO,BIOGENICO,2018,NO,,,,,,,,,,,NO,,SIN_CALCULO_NO,MEM_BEN,UNFCCC_GTM_CRT_2024,
EM|2018|BEV2_00029,2018,B,FUGITIVAS,1.B.1.a,Minería de carbón,CRBN,EXTRACCION_B,ENV,Supply,A,BEV2_00029,0,0,NO,FOSIL,2018,NO,,,,,,,,,,,NO,,SIN_CALCULO_NO,MEM_BEN,UNFCCC_GTM_CRT_2024,
EM|2018|BEV2_00099,2018,B,FUGITIVAS,1.B.2.a.ii,Producción y mejoramiento de petróleo,PETR,EXTRACCION_B,ENV,Supply,A,BEV2_00099,19402.7855,19402.7855,FUGITIVA_PETROLEO,FOSIL,2018,OBS,0.00688535055958847,0.0944734146548185,,,,0.00013359498,0,0.0018330474,,0.05145892218,CAL,,ACTIVIDAD_X_FE,MEM_BEN,UNFCCC_GTM_CRT_2024,CO2e parcial: N2O sin factor numérico; el total incluye solo los gases cuantificados.
EM|2018|BEV2_00006,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,BCANA,GENERACION_CENTRAL,ENER,Use,E,BEV2_00006,36013.4593,36013.4593,COMB_BCANA,BIOGENICO,2018,PRX,100000,30,4,,,0,3601.34593,1.080403779,0.1440538372,68.42557267,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Otra biomasa sólida primaria; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Otra biomasa sólida primaria; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Otra biomasa sólida primaria; gas N2O]."
EM|2018|BEV2_00007,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,BCANA,AUTOPRODUCCION,ENER,Use,E,BEV2_00007,14642.362,14642.362,COMB_BCANA,BIOGENICO,2018,PRX,100000,30,4,,,0,1464.2362,0.43927086,0.058569448,27.8204878,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Otra biomasa sólida primaria; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Otra biomasa sólida primaria; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Otra biomasa sólida primaria; gas N2O]."
EM|2018|BEV2_00020,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,BIOGAS,GENERACION_CENTRAL,ENER,Use,E,BEV2_00020,421.6898,421.6898,COMB_BIOGAS,BIOGENICO,2018,PRX,54600,1,0.1,,,0,23.02426308,0.0004216898,4.216898E-005,0.0229820941,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Gas de vertedero; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Gas de vertedero; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Gas de vertedero; gas N2O]."
EM|2018|BEV2_00021,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,BIOGAS,AUTOPRODUCCION,ENER,Use,E,BEV2_00021,14.525,14.525,COMB_BIOGAS,BIOGENICO,2018,PRX,54600,1,0.1,,,0,0.793065,1.4525E-005,1.4525E-006,0.0007916125,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Gas de vertedero; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Gas de vertedero; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Gas de vertedero; gas N2O]."
EM|2018|BEV2_00034,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,CRBN,GENERACION_CENTRAL,ENER,Use,E,BEV2_00034,51780.4049,51780.4049,COMB_CRBN,FOSIL,2018,PRX,98300,1,1.5,,,5090.01380167,0,0.0517804049,0.07767060735,5112.04636395495,CAL,,ACTIVIDAD_X_FE,MEM_BEN,MARN_GTM_BTR1_2024,"Origen de factores: CO2: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.6, p. 48; fila Otro carbón bituminoso*; gas CO2]; CH4: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Otro carbón bituminoso; gas CH4]; N2O: MARN_GTM_BTR1_2024 [PRX; BTR1 Guatemala 2024, tabla 3.17, p. 57; fila Otro carbón bituminoso; gas N2O]."
EM|2018|BEV2_00048,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,EOLICA,GENERACION_CENTRAL,ENER,Use,B,BEV2_00048,1166.7061,1166.7061,CERO_DIRECTO,SIN_EMISION_DIRECTA,2018,CAL,0,0,0,,,0,0,0,0,0,CAL,,CERO_DIRECTO,MEM_BEN,METODO_EMISIONES,
EM|2018|BEV2_00062,2018,ENER,COMBUSTION,1.A.1.a.i,Generación de electricidad,GEOE,GENERACION_CENTRAL,ENER,Use,B,BEV2_00062,10709.8635,10709.8635,CERO_DIRECTO,SIN_EMISION_DIRECTA,2018,CAL,0,0,0,,,0,0,0,0,0,CAL,,CERO_DIRECTO,MEM_BEN,METODO_EMISIONES,
