registro_mapeo,anio,producto,flow_group,lado,bloque,unidad_sectorial,source_record_id,metodo,ajuste,TJ,tipo_STAT,estado_fuente
MAP_0001,2024,BCANA,Energy products,Supply,C,IND_BEN,BEV2_01513,FRONTERA_BAGAZO_IND,sin ajuste,77138.789,,OK
MAP_0002,2024,BCANA,Energy products,Use,E,ENER,BEV2_01518,GENERACION_CENTRAL,valor absoluto,49781.0096,,OK
MAP_0003,2024,BCANA,Energy products,Use,E,ENER,BEV2_01519,AUTOPRODUCCION,valor absoluto,27357.7794,,OK
MAP_0004,2024,BIOGAS,Energy products,Supply,C,ENER,BEV2_01527,FRONTERA_BIOGAS_ENER,sin ajuste,355.9206,,OK
MAP_0005,2024,BIOGAS,Energy products,Use,E,ENER,BEV2_01532,GENERACION_CENTRAL,valor absoluto,355.9206,,OK
MAP_0006,2024,CRBN,Energy from natural inputs,Supply,A,ENV,BEV2_01541,EXTRACCION_B,sin ajuste,0,,OK
MAP_0007,2024,CRBN,Energy from natural inputs,Use,B,B,BEV2_01541,EXTRACCION_B,sin ajuste,0,,OK
MAP_0008,2024,CRBN,Energy products,Supply,C,B,BEV2_01541,EXTRACCION_B,sin ajuste,0,,OK
MAP_0009,2024,CRBN,Energy products,Supply,D,ROW,BEV2_01542,COMERCIO_EXTERIOR,sin ajuste,42753.5241,,OK
MAP_0010,2024,CRBN,Energy products,Use,G,ACC,BEV2_01544,CAMBIO_EXISTENCIAS,cambio de signo,6627.2927,,OK
MAP_0011,2024,CRBN,Energy products,Use,E,ENER,BEV2_01546,GENERACION_CENTRAL,valor absoluto,34437.3225,,OK
MAP_0012,2024,CRBN,Energy products,Use,E,ENER,BEV2_01547,AUTOPRODUCCION,valor absoluto,1688.9089,,OK
MAP_0013,2024,EOLICA,Energy from natural inputs,Supply,A,ENV,BEV2_01555,INSUMO_NATURAL_RENOVABLE,sin ajuste,1044.9866,,OK
MAP_0014,2024,EOLICA,Energy from natural inputs,Use,B,ENER,BEV2_01560,GENERACION_CENTRAL,valor absoluto,1044.9866,,OK
MAP_0015,2024,GEOE,Energy from natural inputs,Supply,A,ENV,BEV2_01569,INSUMO_NATURAL_RENOVABLE,sin ajuste,11449.0698,,OK
MAP_0016,2024,GEOE,Energy from natural inputs,Use,B,ENER,BEV2_01574,GENERACION_CENTRAL,valor absoluto,11449.0698,,OK
MAP_0017,2024,GN,Energy from natural inputs,Supply,A,ENV,BEV2_01583,EXTRACCION_B,sin ajuste,736.0108,,OK
MAP_0018,2024,GN,Energy from natural inputs,Use,B,B,BEV2_01583,EXTRACCION_B,sin ajuste,736.0108,,OK
MAP_0019,2024,GN,Energy products,Supply,C,B,BEV2_01583,EXTRACCION_B,sin ajuste,736.0108,,OK
MAP_0020,2024,GN,Energy products,Use,E,ENER,BEV2_01588,GENERACION_CENTRAL,valor absoluto,736.0108,,OK
MAP_0021,2024,HYDR,Energy from natural inputs,Supply,A,ENV,BEV2_01597,INSUMO_NATURAL_RENOVABLE,sin ajuste,24578.4497,,OK
MAP_0022,2024,HYDR,Energy from natural inputs,Use,B,ENER,BEV2_01602,GENERACION_CENTRAL,valor absoluto,24483.3981,,OK
MAP_0023,2024,HYDR,Energy from natural inputs,Use,B,ENER,BEV2_01603,AUTOPRODUCCION,valor absoluto,95.0516,,OK
