registro_id,anio,categoria_ipcc,grupo_factor,gas,archivo_crt,sha256_xlsx,hoja,etiqueta_categoria_crt,etiqueta_grupo_crt,celda_actividad,actividad_crt_tj,celda_emision,emision_crt_kt_gas,celda_ief_reportado,ief_reportado_original,unidad_ief_reportado,factor_calculado_kg_tj,factor_repositorio_kg_tj,diferencia_kg_tj,coincide_E_div_A,coincide_ief_reportado,nota_compatibilidad,actividad_psut_tj,actividad_crt_original,unidad_actividad_crt_original,psut_registro_mapeo,psut_source_record_id,sha256_psut
FE_COMB|2018|1.A.1.a.i|BIOMASS|CO2,2018,1.A.1.a.i,BIOMASS,CO2,GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx,1efce35f9670e4cbbd297ded271efaf4a32192bfcc9aa0eba7acb87b01dddc8d,Table1.A(a)s1,1.A.1.a.i. Electricity generation,Biomass (3),C37,51094.91247,H37,5089.721246,E37,99.61307300386105,t CO2/TJ,99613.07300386103,99613.07300386105,1.4551915228366852e-11,True,True,"Mismo año, categoría y grupo CRT. Un factor agrupado no distingue combustibles dentro del grupo.",,,,,,
FE_COMB|2018|1.A.1.a.i|BIOMASS|CH4,2018,1.A.1.a.i,BIOMASS,CH4,GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx,1efce35f9670e4cbbd297ded271efaf4a32192bfcc9aa0eba7acb87b01dddc8d,Table1.A(a)s1,1.A.1.a.i. Electricity generation,Biomass (3),C37,51094.91247,I37,1.520197138,F37,29.75241691416092,kg CH4/TJ,29.75241691416092,29.75241691416092,0.0,True,True,"Mismo año, categoría y grupo CRT. Un factor agrupado no distingue combustibles dentro del grupo.",,,,,,
FE_COMB|2018|1.A.1.a.i|BIOMASS|N2O,2018,1.A.1.a.i,BIOMASS,N2O,GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx,1efce35f9670e4cbbd297ded271efaf4a32192bfcc9aa0eba7acb87b01dddc8d,Table1.A(a)s1,1.A.1.a.i. Electricity generation,Biomass (3),C37,51094.91247,J37,0.202678411,G37,3.966704339086619,kg N2O/TJ,3.966704339086619,3.966704339086619,0.0,True,True,"Mismo año, categoría y grupo CRT. Un factor agrupado no distingue combustibles dentro del grupo.",,,,,,
FE_COMB|2018|1.A.1.a.i|SOLID_FUELS|CO2,2018,1.A.1.a.i,SOLID_FUELS,CO2,GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx,1efce35f9670e4cbbd297ded271efaf4a32192bfcc9aa0eba7acb87b01dddc8d,Table1.A(a)s1,1.A.1.a.i. Electricity generation,Solid fuels,C33,51780.43477,H33,5090.016737,E33,98.29999998279273,t CO2/TJ,98299.99998279272,98299.99998279272,0.0,True,True,"Mismo año, categoría y grupo CRT. Un factor agrupado no distingue combustibles dentro del grupo.",,,,,,
FE_COMB|2018|1.A.1.a.i|SOLID_FUELS|CH4,2018,1.A.1.a.i,SOLID_FUELS,CH4,GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx,1efce35f9670e4cbbd297ded271efaf4a32192bfcc9aa0eba7acb87b01dddc8d,Table1.A(a)s1,1.A.1.a.i. Electricity generation,Solid fuels,C33,51780.43477,I33,0.051780435,F33,1.000000004441832,kg CH4/TJ,1.000000004441832,1.000000004441832,0.0,True,True,"Mismo año, categoría y grupo CRT. Un factor agrupado no distingue combustibles dentro del grupo.",,,,,,
FE_COMB|2018|1.A.1.a.i|SOLID_FUELS|N2O,2018,1.A.1.a.i,SOLID_FUELS,N2O,GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx,1efce35f9670e4cbbd297ded271efaf4a32192bfcc9aa0eba7acb87b01dddc8d,Table1.A(a)s1,1.A.1.a.i. Electricity generation,Solid fuels,C33,51780.43477,J33,0.077670652,G33,1.4999999970065914,kg N2O/TJ,1.4999999970065914,1.4999999970065914,0.0,True,True,"Mismo año, categoría y grupo CRT. Un factor agrupado no distingue combustibles dentro del grupo.",,,,,,
FE_COMB|2018|1.A.1.a.i|LIQUID_FUELS|CO2,2018,1.A.1.a.i,LIQUID_FUELS,CO2,GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx,1efce35f9670e4cbbd297ded271efaf4a32192bfcc9aa0eba7acb87b01dddc8d,Table1.A(a)s1,1.A.1.a.i. Electricity generation,Liquid fuels,C32,3541.603743,H32,273.9222642,E32,77.34413109919733,t CO2/TJ,77344.13109919733,77344.13109919733,0.0,True,True,"Mismo año, categoría y grupo CRT. Un factor agrupado no distingue combustibles dentro del grupo.",,,,,,
FE_COMB|2018|1.A.1.a.i|LIQUID_FUELS|CH4,2018,1.A.1.a.i,LIQUID_FUELS,CH4,GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx,1efce35f9670e4cbbd297ded271efaf4a32192bfcc9aa0eba7acb87b01dddc8d,Table1.A(a)s1,1.A.1.a.i. Electricity generation,Liquid fuels,C32,3541.603743,I32,0.010624811,F32,2.9999999353400275,kg CH4/TJ,2.9999999353400275,2.9999999353400275,0.0,True,True,"Mismo año, categoría y grupo CRT. Un factor agrupado no distingue combustibles dentro del grupo.",,,,,,
FE_COMB|2018|1.A.1.a.i|LIQUID_FUELS|N2O,2018,1.A.1.a.i,LIQUID_FUELS,N2O,GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx,1efce35f9670e4cbbd297ded271efaf4a32192bfcc9aa0eba7acb87b01dddc8d,Table1.A(a)s1,1.A.1.a.i. Electricity generation,Liquid fuels,C32,3541.603743,J32,0.002124962,G32,0.599999930596414,kg N2O/TJ,0.599999930596414,0.599999930596414,0.0,True,True,"Mismo año, categoría y grupo CRT. Un factor agrupado no distingue combustibles dentro del grupo.",,,,,,
FE_COMB|2018|1.A.1.b|LIQUID_FUELS|CO2,2018,1.A.1.b,LIQUID_FUELS,CO2,GTM-CRT-2024-V0.3-2018-20250304-084824_started.xlsx,1efce35f9670e4cbbd297ded271efaf4a32192bfcc9aa0eba7acb87b01dddc8d,Table1.A(a)s1,1.A.1.b. Petroleum refining,Liquid fuels,C39,2077.9477,H39,153.975924,E39,74.09999972569088,t CO2/TJ,74099.99972569088,74099.99972569088,0.0,True,True,"Mismo año, categoría y grupo CRT. Un factor agrupado no distingue combustibles dentro del grupo.",,,,,,
